,RestaurantName,CuisineType,Stars,Pricefortwo,Location,FineDine,NightLife,FoodType,MealType,StudentArea,Baner,Bavdhan,Bhosari,Bibwewadi,Hadapsar,Hinjewadi,Kalyani Nagar,Kharadi,Kondhwa,Koregaon Park,Kothrud,Magarpatta,Narhe,Nigdi,PCMC,Pimple Saudagar,Pimpri Chinchwad,Shivaji Nagar,Sinhgad,Swargate,Viman Nagar,Vishrantwadi,Wagholi,Wakad,Warje,Junk Food,Snacks/Beverages,Stars_scaled,Pricefortwo_scaled
0,Paper Lantern,Asian,4.3,400,Aundh,0,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5333333333333332,0.18144611186903137
1,Platfoorm 9 3/4,"Pizzas, Pastas, Italian, Fast Food, Snacks, Beverages",4.0,400,Aundh,0,0,Junk Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333333333335,0.18144611186903137
2,Creamy Culture,Bakery,4.8,250,Aundh,0,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666666666667,0.11323328785811732
3,GetaWhey,"Desserts, Ice Cream, Healthy Food",4.5,200,Aundh,0,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.0904956798544793
4,VASTAD BHURJIWALE,Continental,4.7,200,Aundh,0,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8000000000000003,0.0904956798544793
5,The Momo Panda,Tibetan,4.4,200,Aundh,0,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000000000000005,0.0904956798544793
6,Madras Cafe,"South Indian, Thalis, Chinese, North Indian",4.3,200,Aundh,0,0,Healthy Food,Snacks/Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5333333333333332,0.0904956798544793
7,Billy's BrewStirs,"Indian, American, Continental",3.7,575,Aundh,1,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333375,0.2610277398817644
8,Samosa Company,"Snacks, Seafood",4.0,50,Aundh,0,0,Healthy Food,Lunch/Dinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333335,0.022282855843565257
9,Wild Sugar Patisserie & Cafe,Bakery,4.4,300,Aundh,0,0,Healthy Food,Snacks/Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6000000000000005,0.13597089586175534
