,RestaurantName
0,Paper Lantern
1,Platfoorm 9 3/4
2,Creamy Culture
3,GetaWhey
4,VASTAD BHURJIWALE
5,Billy's BrewStirs
6,Basilio
7,Keventers Ice Creamery
8,Super smash burgers
9,The Blue Plate
10,Sassy Teaspoon
11,BANJARA
12,Wilderness
13,Moshi Moshi
14,Copper Chocs
15,BANARASIYA
16,FLAVOURS OF CHINA & LEBANON
17,The Coffee Bean & Tea Leaf
18,Theobroma
19,Starbucks Coffee
20,BIRYANI HOUSE
21,BOTI KING
22,Benelli Caffe
23,Burger Craft
24,Quick meal
25,Janhavi Paratha House & Sandwiches
26,KFC
27,The Chinese Box
28,MainLand
29,BUKHAARA
30,Crazy Cheesy (Aundh)
31,Brewing Bistro
32,Chimichurri - All Day Asian Diner
33,KarolBaug- Dawat-e-Mehfil
34,Nothing But Chicken
35,Tea Fancilla
36,Noodle Plus
37,Sarjaa Restaurant & Bar
38,Domino's Pizza
39,LAHORI TADKA
40,The palace
41,Mithas
42,FAVYOS BIRYANI
43,Tea Trails
44,R.K.Kitchen
45,PESHAVARI TADKA
46,The Baker's Dozen
47,Pizza Paaji
48,Hyderabadi Spice
49,Mamma Mia Italian Restaurant
50,NEELAM PARATHAS
51,99 Pancakes
52,NIZAMS BIRYANI
53,Chitale Bandhu Mithaiwale
54,VENKATESH SNACKS CENTER
55,Y Momos
56,Anaas Baking Studio
57,CHINESE WHINESE
58,CAFE SKY
59,Venky's Xprs (Aundh)
60,True Tramm Trunk
61,PUNJABI DHABA
62,Zaffraan Indian Kitchen
63,L'Apicio
64,THE CREAMY LAND
65,Cups and Pups
66,Burger King
67,HungryMan Pizza
68,Shalinis Salads
69,CRUSTBUSTERS
70,Soy Affair
71,Taaareef
72,High On Gourmet
73,SHAHI TEST OF HYDERABAD
74,Arabian Knights
75,STEAK DE RIO
76,Natural Ice Cream
77,Fabcafe By Fabindia
78,Kareems
79,GSardarG
80,LeanCrust Pizza - ThinCrust Experts
81,McDonald's
82,McDonald's Gourmet Burger Collection
83,Gong
84,Cafe Peiskos
85,VEG SUTRA
86,Monk's & Blue's
87,Wake and Bake
88,Italy Via Punjab
89,PRAWN HUB
90,V - Deck
91,Tea Villa Cafe
92,Incognito - Restaurant Bar & Cafe
93,The Break Room
94,7 Seas Wine n Dine
95,Chizzlers
96,McDonald's Gourmet Burger Collection
97,The Greedy Man Pizzeria
98,Good News Dhaba
99,The Momo Box 
100,La Pizzeria by Little Italy
101,HOTEL BENGALI
102,P- TOWN BAR
103,Huber & Holly
104,Goila Butter Chicken
105,Urban Sandwich Co
106,PUNJABI SWAD
107,La Cherie
108,Tales & Spirits
109,Hotel Green Park
110,Mr.Chows
111,Little Konkan
112,Bolo Tara Rara
113,Hangout - Family Resto
114,YA BASA THE DHABA
115,Prem's
116,Sadanand Resorts
117,SUPER NAAN
118,Hotel Shivanjali
119,YONIES- GOOD VIBES & PIZZAS
120,Amruta Village Family Restaurant
121,ROLLING IN DOUGH
122,Elephant & Co.
123,The Calicut Biryani
124,LIIT live it today
125,Urbo
126,Desi Aroma
127,Lucknow Spice
128,Hippie@Heart BHS
129,Fish Curry Rice
130,Nawab Asia
131,Wok 'ur' World
132,WOK POT CHINESE
133,Theobroma
134,Terttulia Bistro
135,Karolbaug
136,Bhairavee Pure Veg. Restaurant
137,Hotel Chul Mutton
138,Sphere
139,TOD - Twist Of Diet
140,Origems
141,Domino's Pizza
142,Sliced by The Urban Foundry
143,Lallantop Dhaba Bar
144,Biryani By Kilo
145,Kerala Cafe
146,The Cake Art
147,Abhiman Pure Veg
148,Mainland China
149,Satva Veg
150,Chinese Culture
151,Chinese Chef Co
152,THIKANA
153,Buon Cibo The Italian Cafe
154,The Urban Foundry
155,EKKYAS FAMILY RESTAURANT
156,Manali-Family Resto Bar
157,The Rustle Nest
158,Dolma Aunty Momos
159,Hongs Chinese
160,FLAVOURS OF ANDHRA
161,Godavari Ruchulu
162,Hyderabad Darbar
163,Effingut
164,Mad Momos
165,Oven Story Pizza
166,Chinar - A pinch of kashmir and world
167,Chopsticks Chinese Thai Food Truck
168,The Bigg Bull
169,Cake O'Clock by Garima
170,Mandarin Oak- The Heavenly Chinese
171,Shreemant Juice Bar
172,Ganesh Bhel-Bavdhan
173,MANKAR DOSA
174,Venky's Xprs (Bavdhan)
175,Oven Story Pizza
176,Firangi Bake
177,puneri tea and snacks
178,Itminaan Biryani - Dum Pukht
179,LunchBox
180,CAFE WTH pune
181,Mad Over Donuts
182,Akkad Bakkad Bombay Boom
183,Peshwa Of Patiyala
184,Hotel Royal tandoor & chinese
185,BURGER MINES
186,Check Mate Biryani House
187,The Bangs
188,Tasty Tongues Chaats
189,K2 Chinese Restaurant
190,Cake Connection
191,Balaji Bhel Center
192,Keventers Ice Cream
193,The Good Bowl
194,Kgn Xprs (Bavdhan)
195,Aaryas Chinese Fast Food
196,LeanCrust Pizza - ThinCrust Experts
197,Dexter's Shakes and Salads
198,Poli Bhaji
199,CRAZY CHEESY ( Bhavdan)
200,Indore Junction
201,Biryani Bowl
202,The Burger Art
203,Angaara
204,Khatri Bandhu Pot Ice Cream- Desi Shakes By KB
205,Peter's Momo Center
206,Youthapam Restocafe Bavdhan
207,BOX8 - Desi Meals
208,Daily Delite Foods (premacha chaha )
209,XPRESS ROLLS
210,SAI SHREE VEG AND NON VEG
211,The Brooklyn Creamery - The Healthy Ice cream
212,THE HOTBOX
213,Subway
214,Yummy Rolls...Mad Momos
215,SWANANYA FOODS
216,Pure Veg Meals by Lunchbox
217,Darjeeling Momos and Chicken Shawarma
218,DREAM CAFE
219,Freshofish
220,"The Sparrow Rolls , Rice & More"
221,Puneri Biryani House
222,Simply Delicious
223,Siya's Kitchen
224,Bread Story
225,Khau
226,RD Biryani
227,Paramhans Pure Veg
228,Masters Biryani N Grill
229,7th Heaven Cake Shop
230,Sara's Rollhouse and Chinese
231,Laddish Cafe
232,Chinese Gully
233,Sarovarr - a Multicuisine Restaurant
234,Dragon Feast
235,OPYUM
236,Roll mekars
237,Amul Ice Cream Parlor
238,Sujata Mastani
239,Punjab Express
240,Awadh E Malwa
241,gusto punjab
242,KEKIZ THE CAKE SHOP
243,Bhagare Misal
244,Domino's Pizza
245,24 Carat Lounge and Bar
246,Street Deli
247,Mrs. Sathe's Kitchen
248,Snappy Dragon
249,Om Sai Snacks Centre
250,Vardayini Pure Veg
251,Hotel shivprasad
252,LOCKDOWN CAFE AND BISTRO
253,Om Sai Chinese and Rolls
254,Indore Katta
255,Foodaholic
256,Best of South Pure Veg
257,Baskin Robbins
258,SAMARTH FOODS
259,Cafe Om Sai Pure Veg
260,Homely Meals @69
261,ASWAD RESTAURANT
262,Faasos
263,Sabji-Chapati
264,Red Dragon Rolls and Chinese
265,VIRAJ CHINESE
266,ZAZA 22 Spice Biryani
267,Tarif Biryani House
268,Deewan-E-Biryani Bavdhan
269,IRANI CHAI CAFE
270,Thorats Barbeque Misal
271,Jijai Coffee House
272,Cafe SD
273,The Biryani Life
274,Hungraze
275,Hotel Aarya
276,M.D.C BIRYANI
277,Angaar
278,24Foodies.in
279,Cafe Peter
280,24Munchies.in
281,AADD M AADD B
282,The Bar Tales
283,Eatsome
284,"Laddish Cafe Food, Music & Liquid Station"
285,Sweet Truth - Cake and Desserts
286,italian hut
287,Jagdamb Chinese Center
288,JACKSON RESTO BAR
289,Momo Brothers
290,Behrouz Biryani
291,CAFE CORONA GO
292,Om Sai Expresso Veg & Non Veg
293,Anda-Mental
294,Anoo's Delights
295,The Mint Leaf Resto Lounge
